verification_status,id,name,type,address,city,state,zip,country,terminal_code,Major Metro,Metro Region
VERIFIED,9,BNSF - Alliance,ramp,1111 Intermodal Parkway,Haslet,TX,76052,USA,USHOUBNALNC,TX-Houston,Houston-Rails
DELETE,10,BNSF - Amarillo - NO LONGER SHOWING A BNSF SERVED,ramp,1801 Farmers Ave.,Amarillo,TX,79118,USA,USAMABNAMAR,TX-Amarillo,
NEW,,BNSF - Barstow,ramp,2825 W. Main Street,Barstow,CA,92311,USA,,,
VERIFIED,14,BNSF - Chicago (Cicero),ramp,5601 W. 26th St.,Chicago,IL,60632,USA,USCHIBNCCRO,IL-Chicago,Chicago Metro
VERIFIED,15,BNSF - Chicago (Corwith),ramp,3526 W. 43rd St.,Chicago,IL,60632,USA,USCHIBNCWTH,IL-Chicago,Chicago Metro
VERIFIED,16,BNSF - Chicago (Logistics Park),ramp,26664 Elwood International Port Road,Elwood,IL,60421,USA,USCHIBNLGPK,IL-Chicago,Chicago Elwood/Joliet
VERIFIED,17,BNSF - Chicago (Willow Springs),ramp,7600 Santa Fe Drive,Hodgkins,IL,60525,USA,USCHIBNWLSP,IL-Chicago,Chicago South
VERIFIED,18,BNSF - Commerce Lot,ramp,5600 East 26th Street,Commerce,CA,90023,USA,USLAXBNCMRC,CA-Los Angeles,LA Rails
VERIFIED,19,BNSF - Denver (Irondale),ramp,585 West 53rd Place,Denver,CO,80216,USA,USDENBNIRON,CO-Denver,
VERIFIED,21,BNSF - El Paso,ramp,805 S. Sante Fe St.,El Paso,TX,79901,USA,USELPBNELPS,TX-El Paso,
VERIFIED,23,BNSF - Houston (Pearland),ramp,214 Brisbane Road,Houston,TX,77061,USA,USHOUBNPRLD,TX-Houston,Houston-Rails
VERIFIED,26,BNSF - Kansas City (Logistics Park),ramp,32880 W. 199th St,Edgerton,KS,66021,USA,USMKCBNLGPK,MO-Kansas City,
VERIFIED,25,BNSF - LAX (Commerce),ramp,"4000 E. Sheila St., Bldg 39",Los Angeles,CA,90023,USA,USLAXBNCMR1,CA-Los Angeles,LB Ports
VERIFIED,27,BNSF - Los Angeles (Hobart),ramp,3770 E. Washington Blvd,Commerce,CA,90023,USA,USLAXBNHBRT,CA-Los Angeles,LA Rails
VERIFIED,28,BNSF - Memphis (Tennessee Yard),ramp,4814 Lamar Ave.,Memphis,TN,38118,USA,USMEMBNTNSY,TN-Memphis,Memphis-Metro
VERIFIED,30,BNSF - New Orleans,ramp,539 Bridge City Ave,Westwego,LA,70094,USA,USMSYBNBRDG,LA-New Orleans,New Orleans-Rails
VERIFIED,31,BNSF - Oakland International Gateway,ramp,333 Maritime St.,Oakland,CA,94607,USA,USOAKBNOKIG,CA-Oakland,Oakland Rails
VERIFIED,32,BNSF - Omaha,ramp,4370 Gibson Road,Omaha,NE,68107,USA,USOMABNOMHA,NE-Omaha,
VERIFIED,33,BNSF - Phoenix,ramp,5281 N. Tom Murray Road,Glendale,AZ,85301,USA,USPHXBNPHNX,AZ-Phoenix,
VERIFIED,34,BNSF - Portland (Lake Yard),ramp,3930 NW Yeon Avenue,Portland,OR,97210,USA,USPDXBNLAKE,OR-Portland,
VERIFIED,35,BNSF - Portland (Terminal 6),ramp,7201 N. Marine Dr. (Berths 601 and 607) Terminal 6,Portland,OR,97203,USA,USPDXBNTRM6,OR-Portland,
VERIFIED,36,BNSF - San Bernardino,ramp,1535 W. 4th Street,San Bernardino,CA,92411,USA,USSBTBNSNBD,CA-Los Angeles,LA Rails
VERIFIED,37,BNSF - Seattle Intl Gateway (SIG),ramp,44 S. Hanford Street,Seattle,WA,98134,USA,USSEABNSEIG,WA-Seattle ,Seattle-Rails
VERIFIED,38,BNSF - South Seattle,ramp,12400 51st Place South,Seattle,WA,98178,USA,USSEABNSSEA,WA-Seattle ,Seattle-Ports
VERIFIED,39,BNSF - Spokane (Inland Empire),ramp,1800 N. Dickey,Spokane,WA,99210,USA,USGEGBNINEM,WA-Spokane,
VERIFIED,40,BNSF - St. Louis (Lindenwood),ramp,3500 Wellington Avenue,Saint Louis,MO,63139,USA,USSTLBNLNDN,MO-Saint Louis,
VERIFIED,41,BNSF - St. Paul (Midway),ramp,1701 Pierce Butler Route,Saint Paul,MN,55104,USA,USMSPBNMDWY,MN-Saint Paul,
VERIFIED,42,BNSF - Stockton,ramp,6540 Austin Rd.,Stockton,CA,95205,USA,USSCKBNSTOK,CA-Stockton ,Stockton
VERIFIED,43,BNSF - Tacoma (North Yard),ramp,711 Port of Tacoma Road,Tacoma,WA,98421,USA,USTIWBNTACN,WA-Tacoma,Tacoma-Rails
VERIFIED,44,BNSF - Tacoma (South Yard),ramp,1101 Milwaukee Way,Tacoma,WA,98421,USA,USTIWBNTACS,WA-Tacoma,Tacoma-Rails
VERIFIED,730,Butler Logistics Park,ramp,21810 Logistics Park Dr,Shell Rock,IA,50670,USA,NULL,IA-Shell Rock,Savannah Rails
DELETE,45,CN - Auburn,ramp,233 Lewiston Jct. Road,Auburn,ME,4210,USA,USAUECNABRN,ME-Portland,
VERIFIED,46,CN - Brampton Intermodal Terminal (BIT),ramp,76 Intermodal Drive,Brampton,ON,L6T5K1,CA,CATORCNBINT,ON-Toronto,
DELETE,47,CN - Calgary,ramp,"5310 27th Street, SE",Calgary,AB,T2C1M7,CA,CACALCNCALG,AB-Calgary,
VERIFIED,48,CN - Calgary Logistics Park (CLP),ramp,250050 Lantz Way ,Rocky View County,AB,T1Z0A8,CA,CACALCNCLGP,AB-Calgary,
VERIFIED,50,CN - Chicago (Harvey),ramp,16800 South Center Street,Harvey,IL,60426,USA,USCHICNGTWY,IL-Chicago,Chicago South
VERIFIED,51,CN - Chippewa Falls,ramp,1160 West River Street,Chippewa Falls,WI,54729,USA,USCPFCNCHPF,Wl-Chippewa Falls,
VERIFIED,60,CN - Detroit Moterm,ramp,923 East 8-Mile Road,Ferndale,MI,48220,USA,USDETCNMOTR,Ml-Detroit,
NEW,,CN - Duluth,ramp,1310 Port Terminal Drive,Duluth,MN,55802,USA,,MN-Duluth,
NEW,,CN - East Regina,ramp,3701 East Bypass Service,Regina,SK,,CA,,SK-Regina,
VERIFIED,52,CN - Edmonton,ramp,12311 184th Street,Edmonton,AB,T5V1T3,CA,CAEDMCNEDMN,AB-Edmonton,
VERIFIED,54,CN - Halifax,ramp,5271 Africville Road,Halifax,NS,B3K5M1,CA,CAHALCNHLFX,NS-Halifax,
VERIFIED,55,CN - Indianapolis (Senate Avenue Terminal),ramp,"1500 S. Senate Ave.,",Indianapolis,IN,46225,USA,USINDCNSNAV,IN-Indianapolis,
VERIFIED,57,CN - Jackson,ramp,360 Industrial Park Road,Richland,MS,39218,USA,USJANCNJKSN,MS-Jackson,
VERIFIED,58,CN - Joliet,ramp,785 Draper Ave,Joliet,IL,60432,USA,USCHICNJLET,IL-Chicago,Chicago Elwood/Joliet
NEW,,CN - Malport ,ramp,7675 Torbram Road,Mississauga,ON,L4T3L8,CA,,ON-Toronto,
VERIFIED,56,CN - Memphis (International Gateway),ramp,3588 Paul R. Lowry Road,Memphis,TN,38109,USA,USMEMCNINGM,TN-Memphis,Memphis-Metro
NEW,,CN - Mississauga ,ramp,7505 Bramalea Road,Mississauga,ON,L5S1C4,CA,,ON-Toronto,
VERIFIED,53,CN - Moncton (Gordon Yard),ramp,Delong Drive,Moncton,NB,E1C1H7,CA,CAMNTCNGRDN,NB-Moncton   ,
VERIFIED,59,CN - Montreal (Serves CSX),ramp,4500 Hickmore Street,Saint-Laurent,QC,H4T1K2,CA,CAMTRCNMNTR,QC-Montreal,
VERIFIED,61,CN - New Orleans,ramp,2351 Hickory Avenue,Harahan,LA,70123,USA,USMSYCNNORL,LA-New Orleans,New Orleans-Rails
VERIFIED,62,CN - Prince George,ramp,855 River Road,Prince George,BC,V2L5M5,CA,CAPRGCNPGRG,BC-Prince George,
VERIFIED,63,CN - Prince Rupert,ramp,3100 Scott Road,Prince Rupert,BC,V8J3P4,CA,CAPRRCNPRPT,BC-Prince Rupert,
VERIFIED,49,CN - Saskatoon (Chappell Yard),ramp,1701 Chappell Drive,Saskatoon,SK,S7M5J5,CA,CASAKCNCHPL,SK-Saskatoon,
VERIFIED,65,CN - Vancouver (Surrey),ramp,17569 104th Avenue,Surrey,BC,V4N3M4,CA,CAVANCNSRRY,BC-Vancouver,
VERIFIED,66,CN - Winnipeg (Symington Yard),ramp,560 Plessis Road,Winnipeg,MB,R2C2Z4,CA,CAWNPCNSYMG,MB-Winnipeg,
VERIFIED,71,CPR - Calgary,ramp,33 Dufferin Place S.E.,Calgary,AB,T2C4M2,CA,CACALCPCALG,AB-Calgary,
VERIFIED,72,CPR - Chicago (Bensenville),ramp,10800 S. Franklin Ave.,Franklin Park,IL,60131,USA,USCHICPBENS,IL-Chicago,Chicago North
VERIFIED,67,CPR - Chicago (Schiller Park),ramp,9665 West Lawrence Avenue,Schiller Park,IL,60176,USA,USCHICPSHLR,IL-Chicago,Chicago North
VERIFIED,73,CPR - Detroit,ramp,12594 Westwood,Detroit,MI,48223,USA,USDETCPDTRT,Ml-Detroit,
CLOSED,74,CPR - Dryden,ramp,P.O. Box 656,Dryden,ON,P8N2Z3,CA,CADRYCPDRYD,ON-Toronto,
VERIFIED,75,CPR - Edmonton,ramp,10155 - 39th Ave N.W.,Edmonton,AB,T6E6C8,CA,CAEDMCPEDMN,AB-Edmonton,
VERIFIED,76,CPR - Minneapolis (Twin Cities),ramp,615 30th Avenue N.E.,Minneapolis,MN,55418,USA,USMSPCPTWIN,MN-Minneapolis,
VERIFIED,77,CPR - Montreal (Lachine),ramp,2250 - 43rd Avenue,Lachine,QC,H8T2J9,CA,CAMTRCPLCHN,QC-Montreal,
